id;company_type;name;cui;join_date
1;CUSTOMER;sky blue Tasty Plastic Pizza;compress Sou;2019-09-23T00:32:08
2;CUSTOMER;Plastic;Car Industri;2019-09-23T05:08:26
3;CUSTOMER;overriding;monitor 1080;2019-09-22T16:23:12
4;SUPPLIER;Investment Account archive Fantastic Plastic Chicken;payment;2019-09-23T00:25:36
5;CUSTOMER;Frozen bus;hard drive R;2019-09-23T13:38:50
6;CUSTOMER;Intelligent Outdoors;Harbor Monta;2019-09-22T21:55:31
7;SUPPLIER;User-centric;Money Market;2019-09-22T21:56:34
8;CUSTOMER;virtual deposit;Squares mint;2019-09-22T17:25:09
9;SUPPLIER;support Gorgeous;withdrawal;2019-09-23T14:36:18
10;CUSTOMER;supply-chains magenta;encompassing;2019-09-23T08:45:31
