id;status;title;j_d;j_d_content_type;positions_no;mentions;public_for_non_collaborators;date;city_id;company_id
1;INACTIVE;white sensor local;../fake-data/blob/hipster.png;image/png;25;deposit Chips Applications;true;2019-08-05T06:57:44;1;1
2;ACTIVE;architectures;../fake-data/blob/hipster.png;image/png;966;Strategist SDD;false;2019-08-05T06:20:06;2;2
3;ACTIVE;Pants Maryland;../fake-data/blob/hipster.png;image/png;936;UIC-Franc Arkansas Intelligent;true;2019-08-04T21:33:52;3;3
4;ACTIVE;program;../fake-data/blob/hipster.png;image/png;697;Sudanese Pound;false;2019-08-05T00:24:15;4;4
5;ACTIVE;open-source HDD;../fake-data/blob/hipster.png;image/png;913;Avon;true;2019-08-04T22:36:08;5;5
6;INACTIVE;incubate;../fake-data/blob/hipster.png;image/png;94;North Dakota Garden;false;2019-08-05T09:57:02;6;6
7;ACTIVE;Computers Small Fresh Gloves back-end;../fake-data/blob/hipster.png;image/png;127;South Georgia and the South Sandwich Islands;true;2019-08-05T07:09:17;7;7
8;INACTIVE;Refined Intelligent Granite Shirt;../fake-data/blob/hipster.png;image/png;541;deposit panel Strategist;true;2019-08-04T20:31:18;8;8
9;INACTIVE;mindshare Gorgeous;../fake-data/blob/hipster.png;image/png;26;Brand;true;2019-08-05T03:23:32;9;9
10;ACTIVE;Benin;../fake-data/blob/hipster.png;image/png;714;invoice;false;2019-08-04T22:21:12;10;10
